"tripId","startTime","endTime","bikeId","revenue","currency","discountReason"
,2022-12-06T15:00:18Z,2022-12-06T15:03:41Z,S003132,0.45,EUR,
,2022-12-06T16:06:31Z,2022-12-06T16:14:08Z,S003132,1,EUR,ponyMember
,2022-12-06T18:36:00Z,2022-12-06T18:43:46Z,S003132,0.9,EUR,
,2022-12-06T21:51:34Z,2022-12-06T21:57:34Z,S003132,1.25,EUR,
,2022-12-06T22:10:22Z,2022-12-06T22:15:32Z,S003132,1.25,EUR,
,2022-12-07T06:05:07Z,2022-12-07T06:18:33Z,S003132,1.575,EUR,
,2022-12-07T15:52:14Z,2022-12-07T16:01:54Z,S003132,1.125,EUR,
,2022-12-08T07:52:49Z,2022-12-08T08:12:46Z,S003132,1,EUR,ponyMember
,2022-12-08T09:08:17Z,2022-12-08T09:16:37Z,S003132,1,EUR,ponyMember
,2022-12-08T17:52:56Z,2022-12-08T18:11:27Z,S003132,1,EUR,ponyMember
,2022-12-08T20:36:38Z,2022-12-08T20:55:56Z,S003132,4.166666666666667,EUR,
,2022-12-09T11:28:53Z,2022-12-09T11:31:10Z,S003132,0.3375,EUR,
,2022-12-09T14:51:25Z,2022-12-09T14:57:17Z,S003132,0.675,EUR,
,2022-12-11T18:34:09Z,2022-12-11T18:36:05Z,S003132,0.225,EUR,
,2022-12-11T19:05:14Z,2022-12-11T19:11:18Z,S003132,0.7875,EUR,
,2022-12-11T21:36:02Z,2022-12-11T21:42:14Z,S003132,1.4583333333333335,EUR,
,2022-12-12T06:47:26Z,2022-12-12T06:53:49Z,S003132,0.7875,EUR,
,2022-12-12T16:29:37Z,2022-12-12T16:35:23Z,S003132,0.675,EUR,
,2022-12-12T17:41:34Z,2022-12-12T17:51:56Z,S003132,1.2375,EUR,
,2022-12-13T05:06:09Z,2022-12-13T05:11:42Z,S003132,0.675,EUR,
,2022-12-13T07:13:38Z,2022-12-13T09:27:09Z,S003132,15.075,EUR,
,2022-12-13T07:13:40Z,2022-12-13T07:18:20Z,S003132,0.5625,EUR,
,2022-12-13T10:04:27Z,2022-12-13T10:09:20Z,S003132,0.5625,EUR,
,2022-12-13T12:46:24Z,2022-12-13T12:52:30Z,S003132,0.7875,EUR,
,2022-12-13T16:13:14Z,2022-12-13T16:53:27Z,S003132,0.4325,EUR,ponyMember
,2022-12-14T11:03:16Z,2022-12-14T11:09:27Z,S003132,0.7875,EUR,
,2022-12-14T11:34:24Z,2022-12-14T11:40:15Z,S003132,0.675,EUR,
,2022-12-14T15:55:49Z,2022-12-14T16:01:41Z,S003132,0.675,EUR,
,2022-12-14T18:21:46Z,2022-12-14T18:26:12Z,S003132,0.5625,EUR,
,2022-12-15T07:39:39Z,2022-12-15T07:45:17Z,S003132,0.675,EUR,
,2022-12-15T15:24:14Z,2022-12-15T15:27:36Z,S003132,0.45,EUR,
,2022-12-15T15:29:05Z,2022-12-15T15:31:42Z,S003132,0.3375,EUR,
,2022-12-15T16:13:36Z,2022-12-15T16:18:38Z,S003132,0.675,EUR,
,2022-12-15T16:28:55Z,2022-12-15T16:35:49Z,S003132,0.7875,EUR,
,2022-12-18T13:57:35Z,2022-12-18T14:01:13Z,S003132,0.45,EUR,
,2022-12-18T14:28:11Z,2022-12-18T14:31:15Z,S003132,0.45,EUR,
,2022-12-18T17:59:16Z,2022-12-18T18:00:39Z,S003132,0.225,EUR,
,2022-12-18T18:01:00Z,2022-12-18T18:12:16Z,S003132,1.35,EUR,
,2022-12-19T09:42:26Z,2022-12-19T10:01:19Z,S003132,2.1375,EUR,
,2022-12-19T22:54:37Z,2022-12-19T23:11:18Z,S003132,3.541666666666667,EUR,
,2022-12-20T08:12:54Z,2022-12-20T08:19:57Z,S003132,0.9,EUR,
,2022-12-20T10:20:50Z,2022-12-20T10:27:38Z,S003132,0.7875,EUR,
,2022-12-20T13:34:28Z,2022-12-20T13:38:08Z,S003132,0.45,EUR,
,2022-12-20T13:59:41Z,2022-12-20T14:38:07Z,S003132,4.3875,EUR,
,2022-12-20T15:25:31Z,2022-12-20T15:50:04Z,S003132,2.8125,EUR,
,2022-12-20T15:56:43Z,2022-12-20T15:59:24Z,S003132,0.3375,EUR,
,2022-12-21T12:17:28Z,2022-12-21T12:22:06Z,S003132,0.5625,EUR,
,2022-12-21T16:15:27Z,2022-12-21T16:23:05Z,S003132,1,EUR,ponyMember
,2022-12-21T16:33:19Z,2022-12-21T16:51:19Z,S003132,2.025,EUR,
,2022-12-21T19:26:36Z,2022-12-21T19:46:41Z,S003132,2.3625,EUR,
,2022-12-21T23:45:50Z,2022-12-21T23:54:31Z,S003132,1.875,EUR,
,2022-12-22T03:53:10Z,2022-12-22T04:08:04Z,S003132,3.125,EUR,
,2022-12-24T15:43:03Z,2022-12-24T15:55:19Z,S003132,1,EUR,ponyMember
,2022-12-24T19:51:20Z,2022-12-24T20:17:32Z,S003132,1,EUR,ponyMember
,2022-12-26T15:50:41Z,2022-12-26T16:10:43Z,S003132,2.3625,EUR,
,2022-12-26T18:03:34Z,2022-12-26T18:12:42Z,S003132,1.125,EUR,
,2022-12-26T18:31:29Z,2022-12-26T18:35:03Z,S003132,0.45,EUR,
,2022-12-26T19:00:20Z,2022-12-26T19:06:44Z,S003132,0.7875,EUR,
,2022-12-29T11:19:43Z,2022-12-29T11:28:16Z,S003051,1.2416666666666667,EUR,
,2022-12-29T14:42:20Z,2022-12-29T14:55:10Z,S003051,1.6083333333333334,EUR,
,2022-12-29T15:45:13Z,2022-12-29T15:49:11Z,S003132,0.45,EUR,
,2022-12-29T17:07:48Z,2022-12-29T17:12:39Z,S003132,0.5625,EUR,
,2022-12-29T18:40:53Z,2022-12-29T18:52:44Z,S003051,1.5166666666666668,EUR,
,2022-12-30T01:26:57Z,2022-12-30T01:28:25Z,S003051,0.6,EUR,
,2022-12-30T03:47:46Z,2022-12-30T03:48:10Z,S003051,0,EUR,
,2022-12-30T03:56:34Z,2022-12-30T04:08:52Z,S003051,1.6083333333333334,EUR,
,2022-12-30T15:54:42Z,2022-12-30T16:01:19Z,S003132,1,EUR,ponyMember
,2022-12-31T03:03:04Z,2022-12-31T03:15:10Z,S003132,2.708333333333334,EUR,
,2022-12-31T03:22:42Z,2022-12-31T03:40:38Z,S003051,2.066666666666667,EUR,
,2022-12-31T05:03:02Z,2022-12-31T05:14:17Z,S003132,1,EUR,ponyMember
,2022-12-31T07:57:32Z,2022-12-31T08:05:05Z,S003132,0.9,EUR,
,2022-12-31T10:56:37Z,2022-12-31T11:09:29Z,S003132,1,EUR,ponyMember
,2022-12-31T12:11:17Z,2022-12-31T12:17:18Z,S003132,0.7875,EUR,
,2022-12-31T20:44:51Z,2022-12-31T20:53:44Z,S003051,1.2416666666666667,EUR,
,2022-12-31T21:24:47Z,2022-12-31T21:56:34Z,S003051,3.35,EUR,
,2022-12-31T22:31:04Z,2022-12-31T22:45:30Z,S003051,1.791666666666667,EUR,
,2022-12-31T22:52:16Z,2022-12-31T23:01:11Z,S003051,1.2416666666666667,EUR,
,2023-01-01T00:13:03Z,2023-01-01T00:24:02Z,S003051,1.425,EUR,
,2023-01-01T15:47:49Z,2023-01-01T16:17:50Z,S003132,3.4875,EUR,
,2023-01-01T16:32:41Z,2023-01-01T16:36:08Z,S003132,0.45,EUR,
,2023-01-01T17:01:57Z,2023-01-01T17:09:43Z,S003132,1,EUR,ponyMember
,2023-01-01T23:13:47Z,2023-01-01T23:18:58Z,S003051,0.9666666666666667,EUR,
,2023-01-02T07:51:55Z,2023-01-02T07:57:21Z,S003132,1,EUR,ponyMember
,2023-01-02T18:03:46Z,2023-01-02T18:18:03Z,S003051,1.791666666666667,EUR,
